Pitanje,1,2,3,4,5
Šta je tačno od navedenog?,*Za slanje SMS poruke programskim kodom neophodno je koristiti klasu SmsManager,Klasa SmsManager poziva metodu sendTextMessage(),*Objekat klase SmsManager poziva metodu sendTextMessage(),*Objekat klase SmsManager inicira se statičkom metodom getDefault(),Objekat klase SmsManager inicira se konstruktorom SmsManager()
Koju klasu nasleđuje klasa SMS prijemnik ?,SmsActivity,SmsManager,SmsReceiver,Activity,*BroadcastReceiver
Za iniciranje aktivnosti iz BroadcastReceiver objekta kojim elementom je neophodno modifikovati i AndroidManifest.xml datoteku?,android:name="android.provider.Telephony.SMS_RECEIVED,android:name=".SMSActivity",*android:launchMode="singleTask",android:name=".SMSReceiver",android:name="android.permission.RECEIVE_SMS"
Iz kojeg razloga aplikacija za slanje e-mail poruka koristi Intent objekat?,*Za pokretanje ugrađene Android aplikacije za slanje/prijem e-mail poruka,Za zabranu pristupa poruci ugrađenoj e-mail aplikaciji,Za automatsko slanje e-mail poruka na više adresa,Za automatsko slanje e-mail poruka na jednu adresu,Za otvaranje web čitača sa lokacijom www.gmail.com
Šta je od navedenog tačno?,*Za dobijanje Google Maps API šifre neophodna je registracija,*Prilikom registracije neophodno je znati naziv paketa aplikacije i SHA1 broj,*Prilikom postavljanja aplikacije na Market neophodan je novi API ključ,Google Maps API šifra se automatski učitava u program,Dobijeni Google API ključ je univerzalan
Šta realizuje postavljanje kontrola na Google mapu?,Objekti kontola,Metoda getUISettings() koju poziva objekat kontole,Kontrole su automatski učitane i podrazumevane za svaku Google mapu,*Objekat klase GoogleMaps,*Metoda getUISettings() koju poziva GoogleMaps objekat
Da bi rad sa Google mapama bio omogućen koje podatke mora da sadrži AndroidManifest.xml datoteka?,*Naziv paketa aplikacije,*Privilegije,*Meta-podatke sa Google API ključem,Podatke o markerima tekućim lokacijama i zoom kontroli,*Podešavanja vezana za korišćene biblioteke com.google.android.gms
Šta je od navedenog tačno za geokodiranje?,*Aplikacija mora da ima dozvolu za pristup preciznoj lokaciji,Aplikacija mora da ima dozvolu za pristup približnoj lokaciji,*Objekat List<Adress> dobija podatke od Geocoder objekta o geografskoj lokaciji,Adresa je automatski locirana ako je poznata geografska lokacija,*Objekat List<Adress> se koristi za kreiranje stringa naziva ulice (lokacije)
Koji tip Google mape se koristi za prikazivanje satelitskog snimka regiona?,Normal,*Sattelite,*Hybrid,None
Šta je od navedenog tačno u vezi sa HTTP protokolom?,*HTTP je veoma zaslužan za ekspanziju Interneta,*HTTP omogućava preuzimanje web stranica sa web servera,*HTTP omogućava preuzimanje binarnih podataka,HTTP konekcija ne zahteva posebnu dozvolu u AndroidManifest.xml datoteci,HTTP omogućava stalnu konekciju sa web serverom
Da li rad sa HTTP protokolima zahteva uključivanje privilegija u AndroidManifest.xml datoteci?,Ne; SDK će automatski dodeliti dozvole,Ne; dozvole automatski dodeljuje razvojno okruženje,*Obavezno je navesti dozvolu za pristup Internetu,Obavezno je navesti dozvolu za pristup Internetu i preciznoj lokaciji uređaja,Obavezno je navesti dozvolu za pristup Internetu samo ako aplikacija koristi wi-fi konekciju
Zašto se koristi JSON notacija u Android aplikacijama?,Programer ne mora da vodi računa o privilegijama,JSON ima kod identičan JAVA kodu,*JSON je jednostavan format za razmenu podataka čitanje i kreiranje dokumenata,*XML dokumenti su dugi i koriste tagove za oblikovanje informacija,*XML dokumenti se teško obrađuju
Koja se tehnika koristi za slanje poruka i održavanje stalne veze klijenata sa serverom?,HTTP povezivanje,*Programiranje socketa,*Komunikacija u različitim nitima koje su izdvojene od glavne niti korisničkog interfejsa,Obrada web XML servisa,Primena JSON notacije
Šta je karakteristično za sinhrone operacije vezane za komunikaciju između mobilne aplikacije i web servera?,Izvršavaju se sinhrono u svim novim verzijama Android OS (kitkat lollipop marshmallow),Ako se izvode sinhrono aplikacija funkcioniše bez problema,Ako se izvode sinhrono dolazi do prekida u izvršavanju UI i otkazivanja aplikacije,*Enkapsulirane su klasom naslednicom klase AsyncTask,*Asinhrono pristupanje web servisu realizovano je instrukcijom u okviru metode onCreate()
Kojom metodom se pokreće servis iz matične klase?,*startService(new Intent(getBaseContext()zarez MyService.class));,startService(new Intent("net.learn2develop.MyService"));,startService();,run();,runService(new Intent("net.learn2develop.MyService"));
Koju ćete metodu koristiti za automatsko zaustavljanje servisa prilikom asinhronog izvršavanja?,onDestroy();,stopService(),*stopSelf(),doInBackground();,onPOstExecute();
Za jednostavno kreiranje servisa koji asinhrono izvršava zadatak i potom automatski se zaustavlja koju klasu je moguće koristiti?,*IntentService;,Intent;,MyIntentService;,BroadcastReceiver;,IBinder;
Za uspostavljanje komunikacije servisa sa aktivnošću koju klasu je moguće koristiti?,*BroadcastReceiver;,IBinder;,MyIntentService;,Intent;,IntentService;
Koje klase biste koristili za ažuriranje korisničkog interfejsa iz posebne niti?,BroadcastReceiver;,IntentService;,Intent;,*Handler;,*AsyncTask;
Šta je tačno za dodelu tipa promenljivoj u Kotlinu,*Kompajler može da zaključi koji tip podataka je pridružen promenljivoj a na osnovu konteksta u kojem je deklarisana nije potrebno eksplicitno specificirati tip,Kompajler ne može da zaključi koji tip podataka je pridružen promenljivoj potrebno je eksplicitno specificirati tip
Kotlin ne zahteva primenu simbola "tačka - zarez" na kraju instrukcije?,*Tacno,Netacno
Kotlin omogućava jednostavno kreiranje asinhronih poziva i prikazivanje odgovora u glavnoj niti upotrebom funkcije doAsync?,*Tacno,Netacno
Kotlin ne razlikuje promenljive (read/write) i nepromenljive (read only) kolekcije?,Tacno,*Netacno
Šta je od navedenog tačno?,*Kotlin obezbeđuje poseban skup interfejsa i pomoćnih (helper) metoda za podršku radu sa kolekcijama,*Kotlin pravi jasnu razliku između promenljivih (mutable collections) i nepromenljivih odnosno stalnih kolekcija (immutable collections),Kotlin sve kolekcije tretira na isti način
Šta je tačno za Kotlin Android projekte?,*Datoteke grafičkog korisničkog interfejsa se i dalje nalaze u čvoru res,*Organizacija Kotlin projekta je identična Java Android projektima,Organizacija Kotlin projekta je značajno različita nego u Java Android projektima
Kotlin Playground Java To Kotlin (J2K) Konverter je jedini način za automatsko prevođenje Java koda u Kotlin?,Tacno,*Netacno
Šta je tačno za Kotlin datoteke u Android projektima?,*Kotlin datoteke se nalaze pod čvorom java,Kotlin datoteke se nalaze pod čvorom source,Kotlin datoteke se nalaze pod čvorom kotlin
Android Studio J2K konverter je ugrađena funkcionalnost u poslednje verzije razvojnog okruženja?,*Tacno,Netacno
Šta je od navedenog tačno?,*Operator Elvis je jednostavno znak pitanja praćen znakom dvotačke (?:),Operator Elvis je jednostavno znak pitanja praćen znakom tačke (?.),Operator Elvis je jednostavno znak pitanja (?)
Operator bezbednog poziva je jednostavno znak pitanja praćen znakom dvotačke (?:),Tacno,*Netacno
Šta je od navedenog tačno?,*Operator as? pokušava da prevede vrednost u željeni tip podataka i vraća null ukoliko vrednost ne može da bude prevedena?,*Operator as pokušava da prevede vrednost u željeni tip podataka i vraća izuzetak ukoliko vrednost ne može da bude prevedena?,Operator as? pokušava da prevede vrednost u željeni tip podataka i vraća izuzetak ukoliko vrednost ne može da bude prevedena?,Operator as pokušava da prevede vrednost u željeni tip podataka i vraća null ukoliko vrednost ne može da bude prevedena?
Za razliku od standardne Jave Kotlin može da koristi promenljive deklarisane unutar do... while petlje kao uslov?,*Tacno,Netacno
Kako je moguće realizovati zaradu distribucijom Android aplikacije?,*Prodavati aplikaciju u celini,*Prodavati razne nadogradnje,*Implementirati reklame besplatno,Prodavati funkcionalnost po funkcionalnost
Šta je od navedenog tačno?,*Testiranje ponašanja Android aplikacije je poželjno uraditi na što više uređaja sa što više različitih rezolucija,Testiranje bi trebalo fokusirati na jedan konkretan uređaj,*Potrebno je potruditi se da se prilikom testiranja koristite relativne koordinate ekrana Android uređaja
Šta je bitno prilikom postavljanja aplikacije na Android Market?,*Poželjno je da razvojni tim ili programer pojedinac ima vlastiti sajt koji opisuje aplikaciju čiji se link navodi na za to predviđenom mestu,*Ne sme se preterivati sa ponavljanjem ključnih reči,Ključne reči mogu slobodno da se definišu bez ograničenja,*Poželjno je opravdano ažuriranje aplikacija,Poželjno je što češće ažuriranje aplikacija
Šta je od navedenog tačno?,*Prilikom potpisivanja aplikacije sertifikatom za objavljivanje definiše se vreme trajanja sertifikata,*Android sistemi insistiraju da je svaka aplikacija koje se instalira na konkretan uređaj bude digitalno potpisana,Android sistemi ne insistiraju da svaka aplikacija koje se instalira na konkretan uređaj bude ponovo digitalno potpisana jer već poseduje digitalni potpis kreiran tokom razvoja,Google aplikacije se samo jednom digitalno potpisuju i to tokom razvoja
Kotlinova reč vararg koja se navodi ispred naziva reference za promenljivu listu argumenata?,*Tacno,Netacno
Izaberite tačan odgovor za konstruktore u Kotlinu?,*Svaka klasa u Kotlinu može da ima jedan ili više sekundarnih konstruktora,*Svaka klasa u Kotlinu može da poseduje samo jedan primarni konstruktor,U Kotlinu postoje samo primarni konstruktori klasa
Šta je tačno?,*Funkcije višeg reda uzimaju funkcije kao parametre ili vraćaju funkciju kao rezultat,*Anonimne funkcije predstavljaju funkcije bez naziva,Funkcije višeg reda predstavljaju funkcije bez naziva
Kotlin koristi rezervisanu reč extends za deklarisanje nasleđivanja klasa?,Tacno,*Netacno
Room predstavlja perzistentnu biblioteku koja je sastavni deo kolekcije Android softverskih komponenata pod nazivom Android Jetpack?,*Tacno,Netacno
Kako se naziva prodavnica za preuzimanje aplikacija za iOS?,*App Store,App Market,iOS Market
Xamarin omogućava crossplatform razvoj oslanjajući se na programski jezik Java?,Tacno,*Netacno
Xamarin omogućava crossplatform razvoj oslanjajući se na programski jezik C#?,*Tacno,Netacno
IDE (Integrated Developer Environment) koji se koristi za razvoj iOS aplikacija je Xcode koji radi samo na OS X / macOS operativnim sistemima?,*Tacno,Netacno
Karakteristike hibridnog pristupa razvoja mobilnih aplikacija su su:,*Distribucija putem aplikacione prodavnice,*Pristup resursima uređaja,*Bolje performanse nego kod web aplikacija,Bolje performanse nego kod nativnih aplikacija
Xamarin koristi pristup kros-interpetiranja za cross-platform funkcionalnosti?,Tacno,*Netacno
